InChI,Key,smiles,Formula,Weight,logP(o/w),b_rotN,vol,lip_violation,ASA_P,Natural,ChemicalName
"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N,O(CC(O)CNC(C)C)c1ccc(cc1)CC(=O)N,C4H4KNO4S,266.341,0.7320,8,251.00,0,173.93777,1,2-[4-[2-hydroxy-3-(isopropylamino)propoxy]phenyl]acetamide
"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,4 0)",XUKUURHRXDUEBC-UHFFFAOYSA-N,Fc1ccc(cc1)-c1n(CCC(O)CC(O)CC(O)=O)c(C(C)C)c(C(=O)Nc2ccccc2)c1-c1ccccc1,C7H6O3,558.64996,6.6470,13,509.50,2,174.68155,0,"7-[2-(4-fluorophenyl)-5-isopropyl-3-phenyl-4-(phenylcarbamoyl)pyrrol-1-yl]-3,5-dihydroxy-heptanoic acid"
"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-3",ZKHQWZAMYRWXGA-UHFFFAOYSA-K,P(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1O)(OP(OP(O)(=O)[O-])(=O)[O-])(=O)[O-],C7H8N4O2,504.15799,-5.1199,8,312.63,2,499.6897,1,"[[[5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-oxido-phosphoryl]oxy-oxido-phosphoryl] hydrogen phosphate"
"InChI=1S/C10H16N2O4/c1-10(2,3)7-5(8(13)12-16-7)4-6(11)9(14)15/h6H,4,11H2,1-3H3,(H,12,13)(H,14,15)",PIXJURSCCVBKRF-UHFFFAOYSA-N,O1NC(=O)C(CC([NH3+])C(=O)[O-])=C1C(C)(C)C,C8H10N4O2,228.248,0.1970,4,186.75,0,201.66933,0,2-azaniumyl-3-(5-tert-butyl-3-oxo-isoxazol-4-yl)propanoate
"InChI=1S/C10H16N2O4/c1-10(2,3)7-5(8(13)12-16-7)4-6(11)9(14)15/h6H,4,11H2,1-3H3,(H,12,13)(H,14,15)",PIXJURSCCVBKRF-UHFFFAOYSA-N,O1NC(=O)C(CC(N)C(O)=O)=C1C(C)(C)C,C8H14ClN5,228.248,-2.3227,4,186.75,0,188.58034,1,2-amino-3-(5-tert-butyl-3-oxo-isoxazol-4-yl)propanoic acid
"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",MXWJVTOOROXGIU-UHFFFAOYSA-N,Clc1nc(nc(n1)NCC)NC(C)C,C9H10O3,215.688,0.6050,4,191.25,0,105.47383,0,"6-chloro-<I>N</I>2-ethyl-<I>N</I>4-isopropyl-1,3,5-triazine-2,4-diamine"
"InChI=1S/C22H18N3O9/c23-32-20(29)13-7-10(1-4-16(13)26)19(11-2-5-17(27)14(8-11)21(30)33-24)12-3-6-18(28)15(9-12)22(31)34-25/h1-9H,23-25H3/q+1/p+2",OAVADAWZVDUALN-UHFFFAOYSA-P,Oc1ccc(cc1C(O[NH3+])=O)C(c1cc(C(O[NH3+])=O)c(O)cc1)=C1C=C(C(O[NH3+])=O)C(=O)C=C1,C9H8O2,470.414,1.1580,8,387.13,2,447.08228,1,"[5-[(3-azaniumyloxycarbonyl-4-hydroxy-phenyl)-(3-azaniumyloxycarbonyl-4-oxo-cyclohexa-2,5-dien-1-ylidene)methyl]-2-hydroxy-benzoyl]oxyammonium"
"InChI=1S/C22H17N3O9/c23-32-20(29)13-7-10(1-4-16(13)26)19(11-2-5-17(27)14(8-11)21(30)33-24)12-3-6-18(28)15(9-12)22(31)34-25/h1-9,26-27H,23-25H2",AQAOISHUOOXFDH-UHFFFAOYSA-N,Oc1ccc(cc1C(ON)=O)C(c1cc(C(ON)=O)c(O)cc1)=C1C=C(C(ON)=O)C(=O)C=C1,C10H11ClO3,467.38998,1.1580,8,387.13,2,443.1904,1,"amino 5-[(3-aminooxycarbonyl-4-hydroxy-phenyl)-(3-aminooxycarbonyl-4-oxo-cyclohexa-2,5-dien-1-ylidene)methyl]-2-hydroxy-benzoate"
"InChI=1S/C22H14O9/c23-16-4-1-10(7-13(16)20(26)27)19(11-2-5-17(24)14(8-11)21(28)29)12-3-6-18(25)15(9-12)22(30)31/h1-9,23-24H,(H,26,27)(H,28,29)(H,30,31)",GIXWDMTZECRIJT-UHFFFAOYSA-N,Oc1ccc(cc1C(O)=O)C(c1cc(C(O)=O)c(O)cc1)=C1C=C(C(O)=O)C(=O)C=C1,C10H11N3O3S,422.345,3.1980,5,354.50,0,380.41418,0,"5-[(3-carboxy-4-hydroxy-phenyl)-(3-carboxy-4-oxo-cyclohexa-2,5-dien-1-ylidene)methyl]-2-hydroxy-benzoic acid"
"InChI=1S/C44H62N2O12/c1-10-12-14-22-32-43(6,7)39(51)40(52)44(55,58-32)29(11-2)41(53)45-24-18-17-20-27(4)37(56-9)28(5)38-36(50)35(49)31(57-38)21-16-13-15-19-26(3)34(48)33-30(47)23-25-46(8)42(33)54/h10, 12-23,25,28-29,31-32,35-40,49-52,54-55H,11,24H2,1-9H3,(",OUAGRMNQRIXQQD-UHFFFAOYSA-N,O1C(O)(C(CC)C(=O)NCC=CC=C(C(OC)C(C)C2OC(C=CC=CC=C(C(=O)C=3C(=O)C=CN(C)C=3O)C)C(O)C2O)C)C(O)C(O)C(C)(C)C1C=CC=CC,C10H12O3,810.98199,3.9890,18,729.63,3,334.45258,1,"<I>N</I>-[(2<I>E</I>,4<I>E</I>)-7-[3,4-dihydroxy-5-[(1<I>E</I>,3<I>E</I>,5<I>E</I>)-7-(2-hydroxy-1-methyl-4-oxo-3-pyridyl)-6-methyl-7-oxo-hepta-1,3,5-trienyl]tetrahydrofuran-2-yl]-6-methoxy-5-methyl-o cta-2,4-dienyl]-2-[2,3,4-trihydroxy-5,5-dimethyl-6-[(1<I>E</I>,3<I>E</I>)-penta-1,3-dienyl]tetrahydropyran-2-yl]butanamide"
"InChI=1S/C25H32O8/c1-7-20-24(4)23(30-16(3)26)25(5,33-20)22(28)18(32-24)13-11-9-8-10-12-17-15(2)19(29-6)14-21(27)31-17/h8-14,18,20,22-23,28H,7H2,1-6H3",QXCOFYWOWZJFEA-UHFFFAOYSA-N,O1C2(C)C(OC(=O)C)C(OC(C=CC=CC=CC=3OC(=O)C=C(OC)C=3C)C2O)(C)C1CC,C12H7Cl3O2,460.52298,4.0160,8,387.50,0,167.77148,0,"[7-ethyl-4-hydroxy-3-[(1<I>E</I>,3<I>E</I>,5<I>E</I>)-6-(4-methoxy-3-methyl-6-oxo-pyran-2-yl)hexa-1,3,5-trienyl]-1,5-dimethyl-2,6-dioxabicyclo[3.2.1]octan-8-yl] acetate"
"InChI=1S/C17H20ClN3O3/c1-20-14-7-11(18)6-12(16(14)24-9-15(20)22)17(23)19-13-8-21-4-2-10(13)3-5-21/h6-7,10,13H,2-5,8-9H2,1H3,(H,19,23)",WUKZPHOXUVCQOR-UHFFFAOYSA-N,Clc1cc(c2OCC(=O)N(c2c1)C)C(=O)NC1C2CCN(C1)CC2,C13H9Cl3N2O,349.81799,1.2980,3,289.88,0,133.91479,0,"6-chloro-4-methyl-3-oxo-<I>N</I>-quinuclidin-3-yl-1,4-benzoxazine-8-carboxamide"
"InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)",LMEKQMALGUDUQG-UHFFFAOYSA-N,S(c1n(cnc1[N+](=O)[O-])C)c1ncnc2nc[nH]c12,C14H12O3,277.26801,0.8681,3,221.25,0,237.5881,1,6-(3-methyl-5-nitro-imidazol-4-yl)sulfanyl-7<I>H</I>-purine
"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,OC(=O)CCCCCCCC(O)=O,C15H12N2O,188.22299,1.6860,8,169.13,0,185.86511,0,nonanedioic acid
"InChI=1S/C22H24ClN3O/c1-25-13-4-5-18(12-14-25)26-22(27)20-7-3-2-6-19(20)21(24-26)15-16-8-10-17(23)11-9-16/h2-3,6-11,18H,4-5,12-15H2,1H3",MBUVEWMHONZEQD-UHFFFAOYSA-N,Clc1ccc(cc1)CC1=NN(C2CCCN(CC2)C)C(=O)c2c1cccc2,C4H4KNO4S,381.90698,5.1600,3,359.88,0,77.708847,1,4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1-one
"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",CJJOSEISRRTUQB-UHFFFAOYSA-N,S(P(=S)(OC)OC)CN1N=Nc2c(cccc2)C1=O,C7H6O3,317.32999,1.4840,5,239.75,0,182.28328,1,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one"
"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H ,15-19H2,1-14H3",MQTOSJVFKKJCRP-UHFFFAOYSA-N,O1C(CC)C(O)(C)C(O)C(N(CC(CC(O)(C)C(OC2OC(CC(N(C)C)C2O)C)C(C)C(OC2OC(C)C(O)C(OC)(C2)C)C(C)C1=O)C)C)C,C7H8N4O2,748.99597,3.4290,7,557.63,2,184.15359,0,"11-[4-(dimethylamino)-3-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydropyran-2-yl)oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclop entadecan-15-one"
"InChI=1S/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)/p-1",JTWOMNBEOCYFNV-UHFFFAOYSA-M,S1C2N(C(C(=O)[O-])C1(C)C)C(=O)C2NC(=O)C(NC(=O)N1CCNC1=O)c1ccccc1,C8H10N4O2,460.491,0.1420,8,371.63,1,294.28055,1,"3,3-dimethyl-7-oxo-6-[[2-[(2-oxoimidazolidine-1-carbonyl)amino]-2-phenyl-acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
"InChI=1S/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)",JTWOMNBEOCYFNV-UHFFFAOYSA-N,S1C2N(C(C(O)=O)C1(C)C)C(=O)C2NC(=O)C(NC(=O)N1CCNC1=O)c1ccccc1,C8H14ClN5,461.49899,0.0210,8,371.63,1,297.33792,0,"3,3-dimethyl-7-oxo-6-[[2-[(2-oxoimidazolidine-1-carbonyl)amino]-2-phenyl-acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H/b14-13+,DMLAVOWQYNRWNQ-BUHFOSPRSA-N,N(=N\c1ccccc1)/c1ccccc1,C8H8O3,182.226,3.9120,2,194.88,0,0,1,(<I>E</I>)-diphenyldiazene
"InChI=1S/C12H11ClN6O2S2/c13-9-5-10(15-6-7-2-1-3-22-7)8(12-16-18-19-17-12)4-11(9)23(14,20)21/h1-5,15H,6H2,(H2,14,20,21)(H,16,17,18,19)",HMEDEBAJARCKCT-UHFFFAOYSA-N,Clc1cc(NCc2sccc2)c(cc1S(=O)(=O)N)-c1nn[nH]n1,C8H9NO2,370.845,1.3110,5,273.13,0,252.44437,1,2-chloro-5-(2<I>H</I>-tetrazol-5-yl)-4-(2-thienylmethylamino)benzenesulfonamide
"InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)",WZPBZJONDBGPKJ-UHFFFAOYSA-N,s1cc(nc1N)C(=NOC(C(O)=O)(C)C)C(=O)NC1C(N(S(O)(=O)=O)C1=O)C,C9H10O3,435.43799,-1.0960,8,320.25,1,354.38226,0,2-[(E)-[1-(2-aminothiazol-4-yl)-2-[(2-methyl-4-oxo-1-sulfo-azetidin-3-yl)amino]-2-oxo-ethylidene]amino]oxy-2-methyl-propanoic acid
"InChI=1S/C15H18O3S/c1-9(2)12-6-5-10(3)15-13(8-12)11(4)7-14(15)19(16,17)18/h5-9H,1-4H3,(H,16,17,18)",VIZXMHCBZLGUET-UHFFFAOYSA-N,S(O)(=O)(=O)c1c2-c(cc(ccc2C)C(C)C)c(c1)C,C9H8O2,278.37201,3.9140,2,243.38,0,104.58324,1,"5-isopropyl-3,8-dimethyl-azulene-1-sulfonic acid"
"InChI=1S/C9H15N3O/c1-2-12-5-3-7-8(4-6-12)13-9(10)11-7/h2-6H2,1H3,(H2,10,11)",ZNXAJGZPUQOEDZ-UHFFFAOYSA-N,o1c2CCN(CCc2nc1N)CC,C10H11N3O3S,181.239,-0.3760,1,169.50,0,140.26466,1,"6-ethyl-4,5,7,8-tetrahydrooxazolo[4,5-d]azepin-2-amine"
"InChI=1S/C14H11NO6/c16-13-7-2-1-6-12(13)14(17)21-11-5-3-4-10(8-11)9-20-15(18)19/h1-8,16H,9H2",MKYGMVOKULQJBW-UHFFFAOYSA-N,O(C(=O)c1ccccc1O)c1cc(ccc1)CO[N+](=O)[O-],C10H12O3,289.24298,3.4390,6,254.25,0,168.93561,1,[3-(nitrooxymethyl)phenyl] 2-hydroxybenzoate
"InChI=1S/C22H38N4O3S2/c1-15(2)20(24-12-17(23)14-30)13-25-19(11-16-7-5-4-6-8-16)21(27)26-18(22(28)29)9-10-31-3/h4-8,15,17-20,24-25,30H,9-14,23H2,1-3H3,(H,26,27)(H,28,29)",QISLMXIYRQCLIR-UHFFFAOYSA-N,S(CCC(NC(=O)C(NCC(NCC(N)CS)C(C)C)Cc1ccccc1)C(O)=O)C,C12H7Cl3O2,470.703,2.3440,17,417.88,1,286.56073,0,2-[[2-[[2-[(2-amino-3-sulfanyl-propyl)amino]-3-methyl-butyl]amino]-3-phenyl-propanoyl]amino]-4-methylsulfanyl-butanoic acid
"InChI=1S/C17H14N8O/c18-14(19)7-1-3-9-11(5-7)24-16(22-9)13(26)17-23-10-4-2-8(15(20)21)6-12(10)25-17/h1-6H,(H3,18,19)(H3,20,21)(H,22,24)(H,23,25)/p+2",VVVXDHROXQUONB-UHFFFAOYSA-P,O=C(c1[nH]c2cc(ccc2n1)C(=[NH2+])N)c1[nH]c2cc(ccc2n1)C(=[NH2+])N,C13H10N2O3S,348.37,0.3450,4,306.50,1,369.04465,1,[amino-[2-[6-[amino(azaniumylidene)methyl]-1<I>H</I>-benzimidazole-2-carbonyl]-3<I>H</I>-benzimidazol-5-yl]methylene]ammonium
"InChI=1S/C17H14N8O/c18-14(19)7-1-3-9-11(5-7)24-16(22-9)13(26)17-23-10-4-2-8(15(20)21)6-12(10)25-17/h1-6H,(H3,18,19)(H3,20,21)(H,22,24)(H,23,25)",VVVXDHROXQUONB-UHFFFAOYSA-N,O=C(c1[nH]c2cc(ccc2n1)C(N)=N)c1[nH]c2cc(ccc2n1)C(N)=N,C13H18O2,346.354,0.7710,4,313.00,1,342.59113,0,2-(6-carbamimidoyl-1<I>H</I>-benzimidazole-2-carbonyl)-3<I>H</I>-benzimidazole-5-carboxamidine
"InChI=1S/C21H27N3O7S/c1-5-29-20(28)31-11(2)30-19(27)15-21(3,4)32-18-14(17(26)24(15)18)23-16(25)13(22)12-9-7-6-8-10-12/h6-11,13-15,18H,5,22H2,1-4H3,(H,23,25)",PFOLLRNADZZWEX-UHFFFAOYSA-N,S1C2N(C(C(OC(OC(OCC)=O)C)=O)C1(C)C)C(=O)C2NC(=O)C(N)c1ccccc1,C13H9Cl3N2O,465.52698,2.0670,11,392.75,0,234.56674,1,"1-ethoxycarbonyloxyethyl 6-[(2-amino-2-phenyl-acetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
InChI=1S/C66H103N17O16S/c1-9-35(6)52(69)66-81-48(32-100-66)63(97)76-43(26-34(4)5)58(92)75-42(22-23-50(85)86)57(91)82-53(36(7)10-2)64(98)71-25-16-15-20-40-55(89)73-41(21-17-24-67)56(90)83-54(37(8)11-3) 65(99)80-44(27-38-18-13-12-14-19-38)59(93)77-45(28-39-3,VRKHYMXTJQCIND-UHFFFAOYSA-N,S1CC(N=C1C(N)C(CC)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(CC)C)C(=O)NCCCCC1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCCN)C(CC)C)Cc1ccccc1)Cc1[nH]cnc1)CC(O)=O)CC(=O)N,C14H12O3,1422.719,-0.9410,39,1196.63,3,634.6488,1,"4-[[2-[[2-(1-amino-2-methyl-butyl)-4,5-dihydrothiazole-4-carbonyl]amino]-4-methyl-pentanoyl]amino]-5-[[1-[4-[20-(2-amino-2-oxo-ethyl)-5-(3-aminopropyl)-11-benzyl-17-(carboxymethyl)-14-(1<I>H</I>-imida zol-5-ylmethyl)-3,6,9,12,15,18,21-heptaoxo-8-sec-butyl-1,4,7,10,13,16,19-heptazacyclohenicos-2-yl]butylcarbamoyl]-2-methyl-butyl]amino]-5-oxo-pentanoic acid"
"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",KPYSYYIEGFHWSV-UHFFFAOYSA-N,Clc1ccc(cc1)C(CC(O)=O)CN,C15H12N2O,213.664,1.2920,4,184.13,0,134.05614,0,4-amino-3-(4-chlorophenyl)butanoic acid
"InChI=1S/C8H8O3/c9-8(10)11-6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",NJAPCAIWQRPQPY-UHFFFAOYSA-N,O(Cc1ccccc1)C(O)=O,C4H4KNO4S,152.149,1.9950,3,144.00,0,121.81712,1,benzyl hydrogen carbonate
"InChI=1S/C21H24O4/c1-21(2,15-3-7-17(8-4-15)22-11-19-13-24-19)16-5-9-18(10-6-16)23-12-20-14-25-20/h3-10,19-20H,11-14H2,1-2H3",LCFVJGUPQDGYKZ-UHFFFAOYSA-N,O1CC1COc1ccc(cc1)C(C)(C)c1ccc(OCC2OC2)cc1,C7H6O3,340.41901,4.6160,8,326.13,0,69.172493,0,2-[[4-[1-methyl-1-[4-(oxiran-2-ylmethoxy)phenyl]ethyl]phenoxy]methyl]oxirane
"InChI=1S/C35H58O9/c1-19(2)32-24(7)27(36)18-35(40,44-32)26(9)31(38)25(8)33-28(41-10)14-12-13-20(3)15-22(5)30(37)23(6)16-21(4)17-29(42-11)34(39)43-33/h12-14,16-17,19,22-28,30-33,36-38,40H,15,18H2,1-11H3",XDHNQDDQEHDUTM-UHFFFAOYSA-N,O1C(C(C(O)C(C)C2(OC(C(C)C)C(C)C(O)C2)O)C)C(OC)C=CC=C(CC(C)C(O)C(C=C(C=C(OC)C1=O)C)C)C,C7H8N4O2,622.83997,6.1420,7,554.63,1,155.5155,1,"(3<I>Z</I>,5<I>Z</I>,11<I>Z</I>,13<I>E</I>)-16-[3-(2,4-dihydroxy-6-isopropyl-5-methyl-tetrahydropyran-2-yl)-2-hydroxy-1-methyl-butyl]-8-hydroxy-3,15-dimethoxy-5,7,9,11-tetramethyl-1-oxacyclohexadeca-3 ,5,11,13-tetraen-2-one"
"InChI=1S/C28H26N2O10/c31-16-8-6-14(7-9-16)26(36)30-18-13-29-10-2-5-22(18)40-28(39)15-11-20(33)24(21(34)12-15)25(35)23-17(27(37)38)3-1-4-19(23)32/h1,3-4,6-9,11-12,18,22,29,31-34H,2,5,10,13H2,(H,30,36)( H,37,38)",XYUFCXJZFZPEJD-UHFFFAOYSA-N,O(C(=O)c1cc(O)c(C(=O)c2c(cccc2O)C(O)=O)c(O)c1)C1CCCNCC1NC(=O)c1ccc(O)cc1,C8H14ClN5,550.51996,3.1710,9,465.88,3,305.03711,0,"2-[2,6-dihydroxy-4-[3-[(4-hydroxybenzoyl)amino]azepan-4-yl]oxycarbonyl-benzoyl]-3-hydroxy-benzoic acid"
"InChI=1S/C12H19NO2/c1-2-3-8-13-9-12(15)10-4-6-11(14)7-5-10/h4-7,12-15H,2-3,8-9H2,1H3",RDUHXGIIUDVSHR-UHFFFAOYSA-N,Oc1ccc(cc1)C(O)CNCCCC,C8H9NO2,209.289,2.2030,6,205.63,0,113.20596,0,4-[2-(butylamino)-1-hydroxy-ethyl]phenol
"InChI=1S/C34H40N2O18/c1-23(37)47-19-51-31(41)15-35(16-32(42)52-20-48-24(2)38)27-9-5-7-11-29(27)45-13-14-46-30-12-8-6-10-28(30)36(17-33(43)53-21-49-25(3)39)18-34(44)54-22-50-26(4)40/h5-12H,13-22H2,1-4H 3",YJIYWYAMZFVECX-UHFFFAOYSA-N,O(CCOc1ccccc1N(CC(OCOC(=O)C)=O)CC(OCOC(=O)C)=O)c1ccccc1N(CC(OCOC(=O)C)=O)CC(OCOC(=O)C)=O,C9H10O3,764.69,2.1077,31,662.50,2,401.75949,1,acetoxymethyl 2-[<I>N</I>-[2-(acetoxymethoxy)-2-oxo-ethyl]-2-[2-[2-[bis[2-(acetoxymethoxy)-2-oxo-ethyl]amino]phenoxy]ethoxy]anilino]acetate
"InChI=1S/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)",FTOAOBMCPZCFFF-UHFFFAOYSA-N,O=C1NC(=O)NC(=O)C1(CC)CC,C9H8O2,184.19499,0.8850,2,144.25,0,170.01363,1,"5,5-diethylhexahydropyrimidine-2,4,6-trione"
"InChI=1S/C12H9NO6/c1-17-12(14)10-6-4-8(18-10)2-3-9-5-7-11(19-9)13(15)16/h2-7H,1H3",YDJPHSNZGRVPCK-UHFFFAOYSA-N,o1c(ccc1C(OC)=O)C=Cc1oc([N+](=O)[O-])cc1,C10H11ClO3,263.20499,1.9070,5,233.75,0,186.6067,0,methyl 5-[(<I>E</I>)-2-(5-nitro-2-furyl)vinyl]furan-2-carboxylate
"InChI=1S/C27H29N3O6/c1-17-23(26(31)35-3)25(20-10-7-11-21(14-20)30(33)34)24(18(2)28-17)27(32)36-22-12-13-29(16-22)15-19-8-5-4-6-9-19/h4-11,14,22,25,28H,12-13,15-16H2,1-3H3",VXMOONUMYLCFJD-UHFFFAOYSA-N,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)C1CCN(C1)Cc1ccccc1,C10H11N3O3S,491.54398,4.4870,9,444.13,0,186.709,1,"<I>O</I>5-(1-benzylpyrrolidin-3-yl) <I>O</I>3-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate"
"InChI=1S/C23H31N3O4S2/c1-15(2)12-17(18(22(28)26-30)14-32-20-10-7-11-31-20)21(27)25-19(23(29)24-3)13-16-8-5-4-6-9-16/h4-11,15,17-19,30H,12-14H2,1-3H3,(H,24,29)(H,25,27)(H,26,28)",XFILPEOLDIKJHX-UHFFFAOYSA-N,s1cccc1SCC(C(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC)C(=O)NO,C10H12O3,477.64999,3.0830,15,405.63,0,174.22153,0,<I>N</I>-[1-benzyl-2-(methylamino)-2-oxo-ethyl]-2-[2-(hydroxyamino)-2-oxo-1-(2-thienylsulfanylmethyl)ethyl]-4-methyl-pentanamide
"InChI=1S/C10H9NO2S/c1-9-3-5-10(6-4-9)14(12,13)8-2-7-11/h2-6,8H,1H3",DOEWDSDBFRHVAP-UHFFFAOYSA-N,S(=O)(=O)(C=CC#N)c1ccc(cc1)C,C13H10N2O3S,207.25299,1.1140,3,182.75,0,151.0934,1,(<I>E</I>)-3-(p-tolylsulfonyl)prop-2-enenitrile
"InChI=1S/C13H15NO2S/c1-13(2,3)11-5-7-12(8-6-11)17(15,16)10-4-9-14/h4-8,10H,1-3H3",VHKZGNPOHPFPER-UHFFFAOYSA-N,S(=O)(=O)(C=CC#N)c1ccc(cc1)C(C)(C)C,C13H18O2,249.334,2.3150,4,221.00,0,148.39178,0,(<I>E</I>)-3-(4-tert-butylphenyl)sulfonylprop-2-enenitrile
"InChI=1S/C16H15F3N2O4/c1-8-12(15(22)25-3)13(14(21(23)24)9(2)20-8)10-6-4-5-7-11(10)16(17,18)19/h4-7,13,20H,1-3H3",ZFLWDHHVRRZMEI-UHFFFAOYSA-N,FC(F)(F)c1ccccc1C1C(C(OC)=O)=C(NC(C)=C1[N+](=O)[O-])C,C13H9Cl3N2O,356.29999,3.8338,5,266.13,0,178.15437,1,"methyl 2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate"
"InChI=1S/C16H31N3O4/c1-7-8-9-12(10-19(23)11-20)14(21)17-13(16(2,3)4)15(22)18(5)6/h11-13,23H,7-10H2,1-6H3,(H,17,21)",AVDLWYHBABSSHC-UHFFFAOYSA-N,O=C(NC(C(C)(C)C)C(=O)N(C)C)C(CCCC)CN(O)C=O,C14H12O3,329.44098,1.4840,12,290.50,0,182.50932,0,"<I>N</I>-[1-(dimethylcarbamoyl)-2,2-dimethyl-propyl]-2-[[formyl(hydroxy)amino]methyl]hexanamide"
"InChI=1S/C28H38N4O7S/c1-2-3-15-39-28(36)26(34)25(20-9-11-21(29)12-10-20)30-27(35)23-14-13-22-16-31(17-24(33)32(22)23)40(37,38)18-19-7-5-4-6-8-19/h4-8,13-14,20-21,25-26,34H,2-3,9-12,15-18,29H2,1H3,(H,3 0,35)",RFAVPVOPIIHJKP-UHFFFAOYSA-N,S(=O)(=O)(N1CC(=O)n2c(C1)ccc2C(=O)NC(C(O)C(OCCCC)=O)C1CCC(N)CC1)Cc1ccccc1,C15H12N2O,574.69897,1.7050,13,486.88,2,261.20404,1,"butyl 3-(4-aminocyclohexyl)-3-[(2-benzylsulfonyl-4-oxo-1,3-dihydropyrrolo[1,2-a]pyrazine-6-carbonyl)amino]-2-hydroxy-propanoate"
"InChI=1S/C5H12BNO4S/c7-4(5(8)9)3-12-2-1-6(10)11/h4,10-11H,1-3,7H2,(H,8,9)",OTJHLDXXJHAZTN-UHFFFAOYSA-N,S(CCB(O)O)CC(N)C(O)=O,C4H4KNO4S,193.03101,-3.8677,6,150.50,0,275.77036,1,2-amino-3-(2-boronoethylsulfanyl)propanoic acid
